RNB_QBNRPPPKPPPP___________P______________n_____ppppppppr_bkqbnr,-6
RNB_QBNRPPPKPPPP___________P______________n_____ppppppppr_bkqbnr,-6
R_BKQBNRPPP_PPPP__N________P______________n_____ppppppppr_bkqbnr,4
R_BKQBNRPPP_PPPP__N________P______________n_____ppppppppr_bkqbnr,4
R_BKQBNRPPPNPPPP___________P______________n_____ppppppppr_bkqbnr,1
R_BKQBNRPPPNPPPP___________P______________n_____ppppppppr_bkqbnr,1
R_BKQBNRPPP_PPPPN__________P______________n_____ppppppppr_bkqbnr,5
R_BKQBNRPPP_PPPPN__________P______________n_____ppppppppr_bkqbnr,5
RNBKQB_RPPP_PPPP_______N___P______________n_____ppppppppr_bkqbnr,6
RNBKQB_RPPP_PPPP_______N___P______________n_____ppppppppr_bkqbnr,6
RNBKQB_RPPP_PPPP_____N_____P______________n_____ppppppppr_bkqbnr,8
RNBKQB_RPPP_PPPP_____N_____P______________n_____ppppppppr_bkqbnr,8
RN_KQBNRPPPBPPPP___________P______________n_____ppppppppr_bkqbnr,4
RN_KQBNRPPPBPPPP___________P______________n_____ppppppppr_bkqbnr,4
RN_KQBNRPPP_PPPP____B______P______________n_____ppppppppr_bkqbnr,3
RN_KQBNRPPP_PPPP____B______P______________n_____ppppppppr_bkqbnr,3
RN_KQBNRPPP_PPPP___________P_B____________n_____ppppppppr_bkqbnr,8
RN_KQBNRPPP_PPPP___________P_B____________n_____ppppppppr_bkqbnr,8
RN_KQBNRPPP_PPPP___________P__________B___n_____ppppppppr_bkqbnr,9
RN_KQBNRPPP_PPPP___________P__________B___n_____ppppppppr_bkqbnr,9
RN_KQBNRPPP_PPPP___________P______________n____Bppppppppr_bkqbnr,7
RN_KQBNRPPP_PPPP___________P______________n____Bppppppppr_bkqbnr,7
RNBK_BNRPPPQPPPP___________P______________n_____ppppppppr_bkqbnr,5
RNBK_BNRPPPQPPPP___________P______________n_____ppppppppr_bkqbnr,5
RNBK_BNRPPP_PPPP__Q________P______________n_____ppppppppr_bkqbnr,12
RNBK_BNRPPP_PPPP__Q________P______________n_____ppppppppr_bkqbnr,12
RNBK_BNRPPP_PPPP_________Q_P______________n_____ppppppppr_bkqbnr,14
RNBK_BNRPPP_PPPP_________Q_P______________n_____ppppppppr_bkqbnr,14
RNBK_BNRPPP_PPPP___________P____Q_________n_____ppppppppr_bkqbnr,19
RNBK_BNRPPP_PPPP___________P____Q_________n_____ppppppppr_bkqbnr,19
RNBKQBNR_PP_PPPPP__________P______________n_____ppppppppr_bkqbnr,5
RNBKQBNR_PP_PPPPP__________P______________n_____ppppppppr_bkqbnr,5
RNBKQBNR_PP_PPPP________P__P______________n_____ppppppppr_bkqbnr,7
RNBKQBNR_PP_PPPP________P__P______________n_____ppppppppr_bkqbnr,7
RNBKQBNRP_P_PPPP_P_________P______________n_____ppppppppr_bkqbnr,7
RNBKQBNRP_P_PPPP_P_________P______________n_____ppppppppr_bkqbnr,7
RNBKQBNRP_P_PPPP_________P_P______________n_____ppppppppr_bkqbnr,5
RNBKQBNRP_P_PPPP_________P_P______________n_____ppppppppr_bkqbnr,5
RNBKQBNRPP__PPPP__P________P______________n_____ppppppppr_bkqbnr,0
RNBKQBNRPP__PPPP__P________P______________n_____ppppppppr_bkqbnr,0
RNBKQBNRPP__PPPP__________PP______________n_____ppppppppr_bkqbnr,4
RNBKQBNRPP__PPPP__________PP______________n_____ppppppppr_bkqbnr,4
RNBKQBNRPPP_PPPP___________________P______n_____ppppppppr_bkqbnr,8
RNBKQBNRPPP_PPPP___________________P______n_____ppppppppr_bkqbnr,8
RNBKQBNRPPP__PPP____P______P______________n_____ppppppppr_bkqbnr,7
